State,Domain,"Reporting Program","Measure Name","Measure Abbreviation","Measure Description",FFY,Population,Methodology,"State Rate","Number of States Reporting",Median,"25th Percentile","75th Percentile",Notes,Source,Location
Montana,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening",BCS-AD,"Percentage of Women Receiving Mammogram: 50-64",2014,Medicaid,Administrative,46.8,31,52.5,46.2,59.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(46.9048, -110.3261)"
Delaware,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening",CCS-AD,"Percentage Screened for Cervical Cancer: 21-64",2014,Medicaid,Administrative,68.0,33,57.7,50.9,66.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(39.3498, -75.5148)"
Oklahoma,"Maternal and Perinatal Health","Adult Core Set","Postpartum Care Rate",PPC-AD,"Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery",2014,"Medicaid & CHIP & Dual Eligibles",Administrative,21.7,34,58.2,42.5,63.9,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(35.5376, -96.9247)"
Georgia,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening",CCS-AD,"Percentage Screened for Cervical Cancer: 21-64",2014,Medicaid,Hybrid,52.6,33,57.7,50.9,66.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(32.9866, -83.6487)"
Georgia,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment",ABA-AD,"Percentage with a BMI Percentile Documented: 18-64",2014,Medicaid,Hybrid,51.3,26,69.3,7.7,81.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(32.9866, -83.6487)"
Hawaii,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening",BCS-AD,"Percentage of Women Receiving Mammogram: 50-64",2014,"Medicaid & CHIP & Dual Eligibles",Administrative,56.6,31,52.5,46.2,59.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(21.1098, -157.5311)"
Minnesota,"Maternal and Perinatal Health","Adult Core Set","Postpartum Care Rate",PPC-AD,"Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery",2014,"Medicaid & CHIP",Administrative,42.0,34,58.2,42.5,63.9,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(45.7326, -93.9196)"
Michigan,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening",CCS-AD,"Percentage Screened for Cervical Cancer: 21-64",2014,Medicaid,Administrative,66.1,33,57.7,50.9,66.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(43.3504, -84.5603)"
"New Mexico","Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment",ABA-AD,"Percentage with a BMI Percentile Documented: 18-64",2014,"Medicaid & CHIP",Administrative,4.8,26,69.3,7.7,81.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(34.8375, -106.2371)"
"New Hampshire","Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening",BCS-AD,"Percentage of Women Receiving Mammogram: 50-64",2014,Medicaid,Administrative,57.1,31,52.5,46.2,59.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(43.4108, -71.5653)"
Ohio,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64",2014,"Medicaid & CHIP",Administrative,75.0,34,79.5,74.6,82.4,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(40.3736, -82.7755)"
Louisiana,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications",MPM-AD,"Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64",2014,"Medicaid & CHIP",Administrative,86.5,27,84.9,82.0,87.1,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(31.1801, -91.8749)"
Michigan,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications",MPM-AD,"Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64",2014,Medicaid,Administrative,81.6,27,84.9,82.0,87.1,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(43.3504, -84.5603)"
Texas,"Behavioral Health and Substance Use Disorders","Adult Core Set","Follow-Up After Hospitalization for Mental Illness",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64",2014,Medicaid,Administrative,56.1,30,57.3,45.0,71.9,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(31.106, -97.6475)"
Connecticut,"Maternal and Perinatal Health","Adult Core Set","Postpartum Care Rate",PPC-AD,"Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery",2014,"Medicaid & CHIP",Administrative,42.5,34,58.2,42.5,63.9,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(41.5834, -72.7622)"
Washington,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women ",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: 21-24",2014,"Medicaid & CHIP",Administrative,57.7,32,59.3,53.5,65.0,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(47.3917, -121.5708)"
Massachusetts,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women ",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: 21-24",2014,Medicaid,Administrative,72.3,32,59.3,53.5,65.0,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(42.2373, -71.5314)"
Connecticut,"Behavioral Health and Substance Use Disorders","Adult Core Set","Antidepressant Medication Management",AMM-AD,"Percentage Treated with Antidepressant Medication for 6 Months: 18-64",2014,"Medicaid & CHIP",Administrative,46.8,31,31.2,24.9,36.7,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(41.5834, -72.7622)"
Washington,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment",ABA-AD,"Percentage with a BMI Percentile Documented: 18-64",2014,"Medicaid & CHIP",Administrative,7.0,26,69.3,7.7,81.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(47.3917, -121.5708)"
Virginia,"Behavioral Health and Substance Use Disorders","Adult Core Set","Antidepressant Medication Management",AMM-AD,"Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64",2014,"Medicaid & CHIP",Administrative,48.5,31,47.2,41.0,53.6,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(37.768, -78.2057)"
Vermont,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening",BCS-AD,"Percentage of Women Receiving Mammogram: 50-64",2014,"Medicaid & CHIP",Administrative,57.1,31,52.5,46.2,59.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(44.0407, -72.7093)"
Colorado,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: LDL-C Screening",LDL-AD,"Percentage with Diabetes (Type 1 or Type 2) Who Had a LDL-C Screening Test: 18-64.",2014,"Medicaid & Dual Eligibles",Hybrid,61.6,34,67.6,64.2,75.6,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(39.0646, -105.3272)"
Missouri,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: LDL-C Screening",LDL-AD,"Percentage with Diabetes (Type 1 or Type 2) Who Had a LDL-C Screening Test: 18-64.",2014,"Medicaid & CHIP",Administrative,65.7,34,67.6,64.2,75.6,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(38.4623, -92.302)"
Massachusetts,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening",CCS-AD,"Percentage Screened for Cervical Cancer: 21-64",2014,Medicaid,"Administrative & Hybrid",73.5,33,57.7,50.9,66.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(42.2373, -71.5314)"
Hawaii,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening",CCS-AD,"Percentage Screened for Cervical Cancer: 21-64",2014,"Medicaid & CHIP & Dual Eligibles",Hybrid,62.8,33,57.7,50.9,66.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(21.1098, -157.5311)"
Mississippi,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening",BCS-AD,"Percentage of Women Receiving Mammogram: 50-64",2014,Medicaid,Administrative,41.8,31,52.5,46.2,59.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(32.7673, -89.6812)"
Illinois,"Behavioral Health and Substance Use Disorders","Adult Core Set","Follow-Up After Hospitalization for Mental Illness",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64",2014,"Medicaid & CHIP",Administrative,32.6,30,57.3,45.0,71.9,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(40.3363, -89.0022)"
"New York","Behavioral Health and Substance Use Disorders","Adult Core Set","Antidepressant Medication Management",AMM-AD,"Percentage Treated with Antidepressant Medication for 6 Months: 18-64",2014,Medicaid,Administrative,35.7,31,31.2,24.9,36.7,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(42.1497, -74.9384)"
Tennessee,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications",MPM-AD,"Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64",2014,"Medicaid & Dual Eligibles",Administrative,88.5,27,84.9,82.0,87.1,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(35.7449, -86.7489)"
"New Hampshire","Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64",2014,Medicaid,Administrative,81.5,34,79.5,74.6,82.4,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(43.4108, -71.5653)"
Illinois,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: LDL-C Screening",LDL-AD,"Percentage with Diabetes (Type 1 or Type 2) Who Had a LDL-C Screening Test: 18-64.",2014,"Medicaid & CHIP",Administrative,67.4,34,67.6,64.2,75.6,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(40.3363, -89.0022)"
"New Hampshire","Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening",CCS-AD,"Percentage Screened for Cervical Cancer: 21-64",2014,Medicaid,Administrative,58.0,33,57.7,50.9,66.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(43.4108, -71.5653)"
Massachusetts,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening",BCS-AD,"Percentage of Women Receiving Mammogram: 50-64",2014,Medicaid,Administrative,71.2,31,52.5,46.2,59.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(42.2373, -71.5314)"
Indiana,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening",BCS-AD,"Percentage of Women Receiving Mammogram: 50-64",2014,Medicaid,Administrative,55.5,31,52.5,46.2,59.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(39.8647, -86.2604)"
Arkansas,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: LDL-C Screening",LDL-AD,"Percentage with Diabetes (Type 1 or Type 2) Who Had a LDL-C Screening Test: 18-64.",2014,Medicaid,Administrative,57.8,34,67.6,64.2,75.6,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(34.9513, -92.3809)"
Alabama,"Behavioral Health and Substance Use Disorders","Adult Core Set","Follow-Up After Hospitalization for Mental Illness",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64",2014,Medicaid,Administrative,21.0,30,37.0,25.5,54.7,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(32.799, -86.8073)"
Montana,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64",2014,Medicaid,Administrative,63.5,34,79.5,74.6,82.4,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(46.9048, -110.3261)"
"Rhode Island","Behavioral Health and Substance Use Disorders","Adult Core Set","Follow-Up After Hospitalization for Mental Illness",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64",2014,"Medicaid & CHIP",Administrative,63.2,30,37.0,25.5,54.7,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(41.6772, -71.5101)"
Delaware,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: LDL-C Screening",LDL-AD,"Percentage with Diabetes (Type 1 or Type 2) Who Had a LDL-C Screening Test: 18-64.",2014,Medicaid,"Administrative & Hybrid",74.0,34,67.6,64.2,75.6,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(39.3498, -75.5148)"
Georgia,"Behavioral Health and Substance Use Disorders","Adult Core Set","Follow-Up After Hospitalization for Mental Illness",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64",2014,Medicaid,Administrative,38.0,30,37.0,25.5,54.7,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(32.9866, -83.6487)"
"Rhode Island","Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening",BCS-AD,"Percentage of Women Receiving Mammogram: 50-64",2014,"Medicaid & CHIP",Administrative,54.0,31,52.5,46.2,59.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(41.6772, -71.5101)"
Illinois,"Behavioral Health and Substance Use Disorders","Adult Core Set","Follow-Up After Hospitalization for Mental Illness",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64",2014,"Medicaid & CHIP",Administrative,18.6,30,37.0,25.5,54.7,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(40.3363, -89.0022)"
Michigan,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64",2014,Medicaid,Administrative,79.2,34,79.5,74.6,82.4,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(43.3504, -84.5603)"
Arkansas,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening",CCS-AD,"Percentage Screened for Cervical Cancer: 21-64",2014,Medicaid,Administrative,39.5,33,57.7,50.9,66.2,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(34.9513, -92.3809)"
Missouri,"Behavioral Health and Substance Use Disorders","Adult Core Set","Antidepressant Medication Management",AMM-AD,"Percentage Treated with Antidepressant Medication for 6 Months: 18-64",2014,"Medicaid & CHIP",Administrative,27.4,31,31.2,24.9,36.7,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(38.4623, -92.302)"
California,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: LDL-C Screening",LDL-AD,"Percentage with Diabetes (Type 1 or Type 2) Who Had a LDL-C Screening Test: 18-64.",2014,Medicaid,Administrative,57.9,34,67.6,64.2,75.6,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(36.17, -119.7462)"
Arkansas,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64",2014,Medicaid,Administrative,69.5,34,79.5,74.6,82.4,,"Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.","(34.9513, -92.3809)"
