State,Domain,"Reporting Program","Measure Name","Measure Abbreviation","Measure Type","Rate Definition",FFY,Population,Methodology,"State Rate","Number of States Reporting",Median,"Bottom Quartile","Top Quartile",Notes,Source,"State-Specific Comments","Rate Used in Calculating State Mean and Median"
Alabama,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 18 and Older",FUH-AD,"Higher rates are better for this measure"," Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days after Discharge: Ages 18 to 64",2020,Medicaid,Administrative,49.5,48,54.7,40.5,65.6,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Higher rates are better for this measure","Percentage with a New Episode of Alcohol Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18 to 64",2020,Medicaid,Administrative,39.8,39,40.8,36.8,43.7,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Higher rates are better for this measure","Percentage with a New Episode of Alcohol Abuse or Dependence who Initiated and Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18 to 64",2020,Medicaid,Administrative,4.9,39,12.5,8.0,15.2,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Higher rates are better for this measure","Percentage with a New Episode of Opioid Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18 to 64",2020,Medicaid,Administrative,38.4,39,54.9,46.1,63.7,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Higher rates are better for this measure","Percentage with a New Episode of Opioid Abuse or Dependence who Initiated and Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18 to 64",2020,Medicaid,Administrative,7.9,39,30.1,17.0,39.5,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Higher rates are better for this measure","Percentage with a New Episode of Other Drug Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18 to 64",2020,Medicaid,Administrative,37.4,39,40.5,37.6,44.0,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Higher rates are better for this measure","Percentage with a New Episode of Other Drug Abuse or Dependence who Initiated and Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18 to 64",2020,Medicaid,Administrative,3.6,39,12.5,9.3,15.3,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Higher rates are better for this measure","Percentage with a New Episode of Alcohol or Other Drug Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18 to 64",2020,Medicaid,Administrative,37.4,40,42.7,39.3,48.2,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older",IET-AD,"Higher rates are better for this measure","Percentage with a New Episode of Alcohol or Other Drug Abuse or Dependence who Initiated and Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18 to 64",2020,Medicaid,Administrative,5.2,40,16.0,11.7,19.5,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Medical Assistance With Smoking and Tobacco Use Cessation: Age 18 and older",MSC-AD,"Higher rates are better for this measure","Percentage of Current Smokers and Tobacco Users Advised to Quit: Ages 18 to 64 Years",2020,Medicaid,"CAHPS 5.0H",76.2,28,76.7,73.6,79.9,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Medical Assistance With Smoking and Tobacco Use Cessation: Age 18 and older",MSC-AD,"Higher rates are better for this measure","Percentage of Current Smokers and Tobacco Users Discussing Cessation Strategies: Ages 18 to 64 Years",2020,Medicaid,"CAHPS 5.0H",37.6,28,48.0,45.9,51.9,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Medical Assistance With Smoking and Tobacco Use Cessation: Age 18 and older",MSC-AD,"Higher rates are better for this measure","Percentage of Current Smokers and Tobacco Users Discussing Cessation Medications: Ages 18 to 64 Years",2020,Medicaid,"CAHPS 5.0H",42.9,28,53.7,50.6,57.4,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Use of Opioids at High Dosage in Persons Without Cancer: Age 18 and Older",OHD-AD,"Lower rates are better for this measure","Percentage Without Cancer who Received Prescriptions for Opioids with an Average Daily Dosage Greater than or Equal to 90 Morphine Milligram Equivalents Over 90 Consecutive Days or More: Ages 18 to 64",2020,Medicaid,Administrative,2.1,28,6.5,9.6,3.9,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Care of Acute and Chronic Conditions","Adult Core Set","Asthma Medication Ratio: Ages 19 to 64",AMR-AD,"Higher rates are better for this measure","Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 19 to 50",2020,Medicaid,Administrative,53.7,42,53.7,49.6,55.3,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles. ",Yes
Alabama,"Care of Acute and Chronic Conditions","Adult Core Set","Asthma Medication Ratio: Ages 19 to 64",AMR-AD,"Higher rates are better for this measure","Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 51 to 64",2020,Medicaid,Administrative,53.3,42,54.6,50.7,57.3,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles. ",Yes
Alabama,"Care of Acute and Chronic Conditions","Adult Core Set","Asthma Medication Ratio: Ages 19 to 64",AMR-AD,"Higher rates are better for this measure","Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 19 to 64",2020,Medicaid,Administrative,53.6,42,53.7,50.9,56.4,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles. ",Yes
Alabama,"Care of Acute and Chronic Conditions","Adult Core Set","Controlling High Blood Pressure: Ages 18 to 85",CBP-AD,"Higher rates are better for this measure","Percentage who had a Diagnosis of Hypertension and Whose Blood Pressure was Adequately Controlled: Ages 18 to 64",2020,Medicaid,Administrative,11.0,33,59.2,52.6,64.7,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles. State attributes lower rate to missing information about blood pressure results in administrative data.",Yes
Alabama,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older",PQI01-AD,"Lower rates are better for this measure","Inpatient Hospital Admissions for Diabetes Short-Term Complications per 100,000 Beneficiary Months: Ages 18 to 64",2020,Medicaid,Administrative,42.1,36,20.1,26.7,15.4,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 05: Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate: Age 40 and Older",PQI05-AD,"Lower rates are better for this measure","Inpatient Hospital Admissions for Chronic Obstructive Pulmonary Disease (COPD) or Asthma per 100,000 Beneficiary Months: Ages 40 to 64",2020,Medicaid,Administrative,212.7,31,56.4,85.2,41.3,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 08: Heart Failure Admission Rate: Age 18 and Older",PQI08-AD,"Lower rates are better for this measure","Inpatient Hospital Admissions for Heart Failure per 100,000 Beneficiary Months: Ages 18 to 64",2020,Medicaid,Administrative,80.7,31,24.4,34.5,19.4,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 15: Asthma in Younger Adults Admission Rate: Ages 18 to 39",PQI15-AD,"Lower rates are better for this measure","Inpatient Hospital Admissions for Asthma per 100,000 Beneficiary Months: Ages 18 to 39",2020,Medicaid,Administrative,13.9,31,6.5,7.8,3.9,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Maternal and Perinatal Health","Adult Core Set","Contraceptive Care: All Women Ages 21 to 44",CCW-AD,"Higher rates are better for this measure","Percentage of Women at Risk for Unintended Pregnancy Provided a Most Effective or Moderately Effective Method of Contraception: Ages 21 to 44",2020,Medicaid,Administrative,29.0,31,24.5,23.0,28.6,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Maternal and Perinatal Health","Adult Core Set","Contraceptive Care: All Women Ages 21 to 44",CCW-AD,"Higher rates are better for this measure","Percentage of Women at Risk for Unintended Pregnancy Provided a Long-Acting Reversible Method of Contraception: Ages 21 to 44",2020,Medicaid,Administrative,3.6,31,5.1,3.6,6.1,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Maternal and Perinatal Health","Adult Core Set","Contraceptive Care: Postpartum Women Ages 21 to 44",CCP-AD,"Higher rates are better for this measure","Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 3 Days of Delivery: Ages 21 to 44",2020,Medicaid,Administrative,6.4,33,11.9,8.7,13.0,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles. State used hospital claims data, case management data, and maternity claims data in addition to the measure value set to capture the number of deliveries. ",Yes
Alabama,"Maternal and Perinatal Health","Adult Core Set","Contraceptive Care: Postpartum Women Ages 21 to 44",CCP-AD,"Higher rates are better for this measure","Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 60 Days of Delivery: Ages 21 to 44",2020,Medicaid,Administrative,42.7,34,41.6,35.2,46.0,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles. State used hospital claims data, case management data, and maternity claims data in addition to the measure value set to capture the number of deliveries. ",Yes
Alabama,"Maternal and Perinatal Health","Adult Core Set","Contraceptive Care: Postpartum Women Ages 21 to 44",CCP-AD,"Higher rates are better for this measure","Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 3 Days of Delivery: Ages 21 to 44",2020,Medicaid,Administrative,0.9,31,1.9,0.7,2.7,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles. State used hospital claims data, case management data, and maternity claims data in addition to the measure value set to capture the number of deliveries. ",Yes
Alabama,"Maternal and Perinatal Health","Adult Core Set","Contraceptive Care: Postpartum Women Ages 21 to 44",CCP-AD,"Higher rates are better for this measure","Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 60 Days of Delivery: Ages 21 to 44",2020,Medicaid,Administrative,9.5,34,12.6,9.5,15.6,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles. State used hospital claims data, case management data, and maternity claims data in addition to the measure value set to capture the number of deliveries. ",Yes
Alabama,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Higher rates are better for this measure","Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 7 and 84 Days after Delivery",2020,Medicaid,Administrative,42.9,39,72.3,65.7,77.0,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles. State used hospital claims data, case management data, and maternity claims data in addition to the measure value set to capture the number of deliveries.",Yes
Alabama,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18 to 74",ABA-AD,"Higher rates are better for this measure","Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18 to 64",2020,Medicaid,Administrative,76.8,39,85.6,64.1,91.7,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles. ",Yes
Alabama,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50 to 74",BCS-AD,"Higher rates are better for this measure","Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64",2020,Medicaid,Administrative,41.8,47,54.7,50.4,59.5,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21 to 64",CCS-AD,"Higher rates are better for this measure","Percentage of Women Screened for Cervical Cancer: Ages 21 to 64",2020,Medicaid,Administrative,42.8,47,56.7,49.3,62.6,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles. ",Yes
Alabama,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women Ages 21 to 24",CHL-AD,"Higher rates are better for this measure","Percentage of Sexually Active Women Screened for Chlamydia: Ages 21 to 24",2020,Medicaid,Administrative,11.4,48,60.5,53.8,67.4,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.",Yes
Alabama,"Primary Care Access and Preventive Care","Adult Core Set","Flu Vaccinations for Adults Ages 18 to 64",FVA-AD,"Higher rates are better for this measure","Percentage who Received an Influenza Vaccination: Ages 18 to 64",2020,"Medicaid & Dual Eligibles","CAHPS 5.0H",39.7,28,44.8,40.9,48.0,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes FFS and PCCM populations. ",Yes
Arizona,"Behavioral Health Care","Adult Core Set","Adherence to Antipsychotic Medications for Individuals with Schizophrenia: Age 18 and older",SAA-AD,"Higher rates are better for this measure","Percentage with Schizophrenia or Schizoaffective Disorder who were Dispensed and Remained on Antipsychotic Medication for at Least 80 Percent of their Treatment Period: Age 18 and older",2020,"Medicaid & Dual Eligibles",Administrative,52.4,43,62.5,56.6,67.0,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes managed care population (14 MCOs), representing 79 percent of the population. Rate excludes FFS population, representing 21 percent of the population. Rate is provisional. State conducted an internal audit of the data.",Yes
Arizona,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Higher rates are better for this measure","Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18 to 64",2020,"Medicaid & Dual Eligibles",Administrative,42.5,43,53.1,47.5,57.4,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include managed care population (14 MCOs), representing 79 percent of the population. Rates exclude FFS population, representing 21 percent of the population. Rates are provisional. State conducted an internal audit of the data.",Yes
Arizona,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Higher rates are better for this measure","Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18 to 64",2020,"Medicaid & Dual Eligibles",Administrative,23.7,42,37.3,29.9,41.1,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include managed care population (14 MCOs), representing 79 percent of the population. Rates exclude FFS population, representing 21 percent of the population. Rates are provisional. State conducted an internal audit of the data.",Yes
Arizona,"Behavioral Health Care","Adult Core Set","Concurrent Use of Opioids and Benzodiazepines: Age 18 and older",COB-AD,"Lower rates are better for this measure","Percentage with Concurrent Use of Prescription Opioids and Benzodiazepines: Ages 18 to 64",2020,"Medicaid & Dual Eligibles",Administrative,8.8,27,16.3,21.6,11.2,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes managed care population (14 MCOs), representing 79 percent of the population. Rate excludes FFS population, representing 21 percent of the population. Rate is provisional. State conducted an internal audit of the data. ",Yes
Arizona,"Behavioral Health Care","Adult Core Set","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18 to 64",SSD-AD,"Higher rates are better for this measure","Percentage with Schizophrenia, Schizoaffective Disorder, or Bipolar Disorder who were Dispensed an Antipsychotic Medication and had a Diabetes Screening Test: Ages 18 to 64",2020,"Medicaid & Dual Eligibles",Administrative,79.9,44,80.3,77.3,82.5,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rate includes managed care population (14 MCOs), representing 79 percent of the population. Rate excludes FFS population, representing 21 percent of the population. Rate is provisional. State conducted an internal audit of the data.",Yes
Arizona,"Behavioral Health Care","Adult Core Set","Follow-Up After Emergency Department Visit for Alcohol and Other Drug Abuse or Dependence: Age 18 and Older",FUA-AD,"Higher rates are better for this measure","Percentage of Emergency Department (ED) Visits for Alcohol and Other Drug Abuse or Dependence with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 18 to 64",2020,"Medicaid & Dual Eligibles",Administrative,20.3,41,15.2,7.8,20.3,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include managed care population (14 MCOs), representing 79 percent of the population. Rates exclude FFS population, representing 21 percent of the population. Rates are provisional. State conducted an internal audit of the data. ",Yes
Arizona,"Behavioral Health Care","Adult Core Set","Follow-Up After Emergency Department Visit for Alcohol and Other Drug Abuse or Dependence: Age 18 and Older",FUA-AD,"Higher rates are better for this measure","Percentage of Emergency Department (ED) Visits for Alcohol and Other Drug Abuse or Dependence with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 18 to 64",2020,"Medicaid & Dual Eligibles",Administrative,28.3,41,22.5,11.5,30.1,,"Mathematica analysis of MACPro reports for the FFY 2020 reporting cycle as of June 18, 2021.","Rates include managed care population (14 MCOs), representing 79 percent of the population. Rates exclude FFS population, representing 21 percent of the population. Rates are provisional. State conducted an internal audit of the data. ",Yes
