State,Domain,"Reporting Program","Measure Name","Measure Abbreviation","Rate Definition",FFY,Population,Methodology,"State Rate","Number of States Reporting",Median,"Bottom Quartile","Top Quartile",Notes,"State Specific Comments",Source,Location
"New York","Care of Acute and Chronic Conditions","Adult Core Set","PQI 05: Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate: Age 40 and Older",PQI05-AD,"Inpatient Hospital Admissions for Chronic Obstructive Pulmonary Disease (COPD) or Asthma per 100,00 Enrollee Months: Ages 40-64",2017,Medicaid,Administrative,57.0,25,70.4,100.5,52.8,,"Rate includes FFS and managed care populations (72 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. State conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New York
(42.921241, -75.59655)"
Oregon,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 08: Heart Failure Admission Rate: Age 18 and Older",PQI08-AD,"Inpatient Hospital Admissions for Heart Failure per 100,000 Enrollee Months: Ages 18-64",2017,"Medicaid & CHIP & Dual Eligibles",Administrative,14.6,25,21.9,30.8,16.4,,"Rate includes managed care population (16 CCOs), representing 75 percent of the population. Rate excludes FFS population, representing 25 percent of the population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Oregon
(43.940449, -120.605279)"
California,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2017,"Medicaid & CHIP",Hybrid,65.4,39,60.1,54.1,65.9,,"Rate includes managed care population (26 MCOs), representing 89 percent of the population. Rate excludes FFS population, representing 11 percent of the population, and Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 115,341. Rate was validated by the state's EQRO. Rate is provisional due to changes in the Medicaid program and data systems during this period.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","California
(37.211164, -119.662127)"
Nevada,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 21-64",2017,Medicaid,Administrative,84.6,43,63.6,54.8,74.6,,"Rates include managed care population (2 MCOs) age 6 and older, representing 69 percent of the population. Rates exclude FFS population, representing 31 percent of the population, and Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Nevada
(39.283294, -114.916992)"
Florida,"Care of Acute and Chronic Conditions","Adult Core Set","Controlling High Blood Pressure: Ages 18-85",CBP-AD,"Percentage who had a Diagnosis of Hypertension and Whose Blood Pressure was Adequately Controlled (<140/90 mmHg) During the Measurement Year: Ages 18-64",2017,Medicaid,Hybrid,54.8,26,56.7,52.5,65.9,,"Rate includes managed care population (17 MCOs) ages 18 to 85, representing 69 percent of the population. Rate excludes FFS population, representing 31 percent of the population, and Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 98,351. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Florida
(28.260731, -82.420978)"
Louisiana,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2017,"Medicaid & CHIP",Administrative,16.7,42,41.9,33.5,59.4,,"Rates include FFS and managed care populations (5 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were calculated using HEDIS-certified code and the state conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Louisiana
(30.921314, -91.840238)"
Colorado,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 05: Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate: Age 40 and Older",PQI05-AD,"Inpatient Hospital Admissions for Chronic Obstructive Pulmonary Disease (COPD) or Asthma per 100,00 Enrollee Months: Ages 40-64",2017,"Medicaid & Dual Eligibles",Administrative,31.9,25,70.4,100.5,52.8,,"Rate includes FFS and PCCM populations, representing 90 percent of the population. Rate excludes managed care population, representing 10 percent of the population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Colorado
(38.998552, -105.547832)"
Delaware,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 15: Asthma in Younger Adults Admission Rate: Ages 18-39",PQI15-AD,"Inpatient Hospital Admissions for Asthma per 100,000 Enrollee-Months: Ages 18-39",2017,Medicaid,Administrative,13.0,26,5.8,8.8,4.0,,"Rate includes managed care population (2 MCOs), representing 90 percent of the population. Rate excludes FFS population, representing 10 percent of the population, and Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Delaware
(38.994926, -75.452394)"
Georgia,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women Ages 21-24",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: Ages 21-24 Years",2017,"Medicaid & CHIP",Administrative,62.0,40,61.1,54.3,67.9,,"Rate includes FFS and managed care populations (4 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles and Planning for Healthy Babies (P4HB) demonstration members per CMS Special Terms and Conditions. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Georgia
(32.638481, -83.426574)"
Missouri,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated and Engaged in Treatment: Ages 18-64",2017,"Medicaid & CHIP",Administrative,16.4,31,14.5,10.3,17.8,,"Rates include FFS and managed care populations (3 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Missouri
(38.3675, -92.477244)"
Maryland,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated Treatment: Ages 18-64",2017,"Medicaid & CHIP",Administrative,33.9,30,37.0,34.7,41.0,,"Rates include managed care population (8 MCOs), representing 69 percent of the population. Rates exclude FFS population, representing 31 percent of the population, and Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Maryland
(38.946466, -76.687282)"
Minnesota,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2017,"Medicaid & CHIP & Dual Eligibles",Administrative,84.5,36,86.8,85.0,89.0,,"Rate includes FFS and managed care populations (8 MCOs). Rate includes paid claims only. Rate was audited by a certified HEDIS auditor.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Minnesota
(46.349153, -94.198308)"
Mississippi,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2017,Medicaid,Administrative,23.7,34,34.9,29.4,37.6,,"Rates include managed care population (2 MCOs), representing 68 percent of the population. Rates exclude FFS population, representing 32 percent of the population, and Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Mississippi
(32.713378, -89.65344)"
Ohio,"Behavioral Health Care","Adult Core Set","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64",SSD-AD,"Percentage with Schizophrenia or Bipolar Disorder who were Dispensed an Antipsychotic Medication and had a Diabetes Screening Test: Ages 18-64",2017,"Medicaid & CHIP",Administrative,72.0,30,78.9,73.6,80.6,,"Rate includes FFS and managed care populations (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Ohio
(40.415534, -82.70936)"
Arkansas,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 15: Asthma in Younger Adults Admission Rate: Ages 18-39",PQI15-AD,"Inpatient Hospital Admissions for Asthma per 100,000 Enrollee-Months: Ages 18-39",2017,"Medicaid & CHIP",Administrative,4.3,26,5.8,8.8,4.0,,"Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles and and Medicaid beneficiaries whose benefits are limited to premium assistance. Rate was audited by state data contractor.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Arkansas
(34.899825, -92.439162)"
Ohio,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 08: Heart Failure Admission Rate: Age 18 and Older",PQI08-AD,"Inpatient Hospital Admissions for Heart Failure per 100,000 Enrollee Months: Ages 18-64",2017,"Medicaid & CHIP",Administrative,16.4,25,21.9,30.8,16.4,,"Rate includes FFS and managed care populations (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Ohio
(40.415534, -82.70936)"
Arkansas,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2017,"Medicaid & CHIP",Administrative,33.5,42,41.9,33.5,59.4,,"Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles and Medicaid beneficiaries whose benefits are limited to premium assistance. Rates were audited by state data contractor.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Arkansas
(34.899825, -92.439162)"
Louisiana,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 15: Asthma in Younger Adults Admission Rate: Ages 18-39",PQI15-AD,"Inpatient Hospital Admissions for Asthma per 100,000 Enrollee-Months: Ages 18-39",2017,"Medicaid & CHIP",Administrative,4.0,26,5.8,8.8,4.0,,"Rate includes FFS and managed care populations (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. State conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Louisiana
(30.921314, -91.840238)"
Michigan,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women Ages 21-24",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: Ages 21-24 Years",2017,Medicaid,Administrative,68.2,40,61.1,54.3,67.9,,"Rate includes FFS and managed care populations (11 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Michigan
(44.874798, -85.730977)"
Illinois,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years",2017,"Medicaid & CHIP",Administrative,53.6,39,54.7,48.4,60.9,,"Rate includes FFS, PCCM, integrated care model, and managed care populations (13 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Illinois
(40.124144, -89.148632)"
Louisiana,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64 Years",2017,"Medicaid & CHIP",Hybrid,69.3,32,78.6,27.6,87.7,,"Rate includes FFS and managed care populations (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 188,054. State conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Louisiana
(30.921314, -91.840238)"
Illinois,"Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64",SAA-AD,"Percentage with Schizophrenia who were Dispensed and Remained on Antipsychotic Medication for at Least 80 Percent of their Treatment Period: Ages 19-64",2017,"Medicaid & CHIP",Administrative,55.2,31,61.9,56.6,66.2,,"Rate includes FFS, PCCM, integrated care model, and managed care populations (13 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Illinois
(40.124144, -89.148632)"
"North Carolina","Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) who had a Hemoglobin A1c (HbA1c) Test: Ages 18-64",2017,Medicaid,Administrative,63.2,38,84.5,78.4,87.4,,"Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","North Carolina
(35.52603, -79.130883)"
"District of Columbia","Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2017,"Medicaid & CHIP & Dual Eligibles",Administrative,36.8,42,41.9,33.5,59.4,,"Rates include managed care population (4 MCOs) age 6 and older, representing 69 percent of the population. Rates exclude FFS population, representing 31 percent of the population. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","District of Columbia
(38.904785, -77.016275)"
Florida,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated and Engaged in Treatment: Ages 18-64",2017,Medicaid,Administrative,6.6,31,14.5,10.3,17.8,,"Rates include managed care population (17 MCOs) age 18 and older, representing 69 percent of the population. Rates exclude FFS population, representing 31 percent of the population, and Medicare-Medicaid Dual Eligibles. MCO rates were validated by HEDIS auditor.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Florida
(28.260731, -82.420978)"
Connecticut,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older",PQI01-AD,"Inpatient Hospital Admissions for Diabetes Short-Term Complications per 100,000 Enrollee Months: Ages 18-64",2017,Medicaid,Administrative,15.1,29,18.0,23.4,14.1,,"Rate includes FFS population. Rate excludes Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Connecticut
(41.575155, -72.738288)"
"New Hampshire","Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64 Years",2017,Medicaid,Hybrid,88.5,32,78.6,27.6,87.7,,"Rate includes managed care population (2 MCOs), representing 84 percent of the population. Rate excludes FFS population, representing 16 percent of the population, and Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 11,624. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Hampshire
(43.680429, -71.57139)"
Michigan,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2017,Medicaid,Administrative,27.4,34,34.9,29.4,37.6,,"Rates include FFS and managed care populations (11 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Data source is the state's Data Warehouse, which contains MMIS data and pharmacy data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Michigan
(44.874798, -85.730977)"
California,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women Ages 21-24",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: Ages 21-24 Years",2017,Medicaid,Administrative,64.0,40,61.1,54.3,67.9,,"Rate includes FFS, family planning program, and managed care populations (26 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was audited using decision support software. Rate is provisional due to changes in the Medicaid program and data systems during this period.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","California
(37.211164, -119.662127)"
"New Mexico","Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64",SAA-AD,"Percentage with Schizophrenia who were Dispensed and Remained on Antipsychotic Medication for at Least 80 Percent of their Treatment Period: Ages 19-64",2017,Medicaid,Administrative,54.7,31,61.9,56.6,66.2,,"Rate includes managed care population (4 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Mexico
(34.421369, -106.108388)"
Massachusetts,"Behavioral Health Care","Adult Core Set","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64",SSD-AD,"Percentage with Schizophrenia or Bipolar Disorder who were Dispensed an Antipsychotic Medication and had a Diabetes Screening Test: Ages 18-64",2017,Medicaid,Administrative,79.9,30,78.9,73.6,80.6,,"Rate includes PCCM and managed care populations (6 MCOs), representing 64 percent of the population. Rate excludes FFS population, representing 36 percent of the population, and Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Massachusetts
(42.151077, -71.481104)"
Mississippi,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2017,Medicaid,Administrative,87.9,36,86.8,85.0,89.0,,"Rate includes managed care population (2 MCOs), representing 68 percent of the population. Rate excludes FFS population, representing 32 percent of the population, and Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Mississippi
(32.713378, -89.65344)"
Oregon,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women Ages 21-24",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: Ages 21-24 Years",2017,"Medicaid & CHIP & Dual Eligibles",Administrative,52.0,40,61.1,54.3,67.9,,"Rate includes managed care population (16 CCOs), representing 75 percent of the population. Rate excludes FFS population, representing 25 percent of the population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Oregon
(43.940449, -120.605279)"
"District of Columbia","Care of Acute and Chronic Conditions","Adult Core Set","Controlling High Blood Pressure: Ages 18-85",CBP-AD,"Percentage who had a Diagnosis of Hypertension and Whose Blood Pressure was Adequately Controlled (<140/90 mmHg) During the Measurement Year: Ages 18-64",2017,"Medicaid & CHIP & Dual Eligibles",Hybrid,50.2,26,56.7,52.5,65.9,,"Rate includes managed care population (4 MCOs) ages 18 to 85, representing 69 percent of the population. Rate excludes FFS population, representing 31 percent of the population. Denominator is the sample size; measure-eligible population is 12,069.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","District of Columbia
(38.904785, -77.016275)"
Louisiana,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2017,"Medicaid & CHIP",Administrative,89.0,36,86.8,85.0,89.0,,"Rate includes FFS and managed care populations (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was calculated using HEDIS-certified code and the state conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Louisiana
(30.921314, -91.840238)"
"New Mexico","Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years",2017,Medicaid,Administrative,47.2,39,54.7,48.4,60.9,,"Rate includes managed care population (4 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Mexico
(34.421369, -106.108388)"
