"state","population","measure_abbreviation","state_rate","ffy"
"Alabama","Medicaid","HA1C-AD","73.7","2015"
"New York","Medicaid","AMM-AD","51","2015"
"South Carolina","Medicaid","IET-AD","6.3","2015"
"Pennsylvania","Medicaid","IET-AD","29.8","2015"
"Minnesota","Medicaid","PPC-AD","40.9","2015"
"Massachusetts","Medicaid","IET-AD","18.9","2015"
"New York","Medicaid","CHL-AD","67.9","2015"
"Tennessee","Medicaid","CCS-AD","64.8","2015"
"New Mexico","Medicaid","FUH-AD","36.9","2015"
"California","Medicaid","CHL-AD","56","2015"
"South Carolina","Medicaid","CCS-AD","43.3","2015"
"Mississippi","Medicaid","ABA-AD","61","2015"
"Arkansas","Medicaid","CCS-AD","37.1","2015"
"Alabama","Medicaid","FUH-AD","17.4","2015"
"California","Medicaid","IET-AD","20.1","2015"
"Tennessee","Medicaid","FUH-AD","61.9","2015"
"Texas","Medicaid","PPC-AD","62.6","2015"
"New York","Medicaid","FUH-AD","55.3","2015"
"Tennessee","Medicaid","ABA-AD","82.8","2015"
"Michigan","Medicaid","HA1C-AD","80.7","2015"
"Iowa","Medicaid","CHL-AD","56","2015"
"California","Medicaid","AMM-AD","55.5","2015"
"New Mexico","Medicaid","MPM-AD","72.8","2015"
"South Carolina","Medicaid","HA1C-AD","51.9","2015"
"Massachusetts","Medicaid","ABA-AD","90.6","2015"
"Texas","Medicaid","AMM-AD","44.1","2015"
"New Mexico","Medicaid","CCS-AD","41.3","2015"
"Iowa","Medicaid","IET-AD","16.4","2015"
"Washington","Medicaid","AMM-AD","51.7","2015"
"Washington","Medicaid","CCS-AD","50.4","2015"
"West Virginia","Medicaid","ABA-AD","78.8","2015"
"Washington","Medicaid","MPM-AD","84.9","2015"
"Washington","Medicaid","IET-AD","6.9","2015"
"Washington","Medicaid","CHL-AD","56.6","2015"
"Washington","Medicaid","AMM-AD","37","2015"
"West Virginia","Medicaid","PPC-AD","59.1","2015"
"Washington","Medicaid","IET-AD","29.8","2015"
"West Virginia","Medicaid","CCS-AD","56","2015"
"Washington","Medicaid","ABA-AD","82.2","2015"
"Washington","Medicaid","FUH-AD","63.5","2015"
"West Virginia","Medicaid","HA1C-AD","79.2","2015"
"Washington","Medicaid","PPC-AD","51.6","2015"
"West Virginia","Medicaid","CHL-AD","46.4","2015"
"Washington","Medicaid","FUH-AD","77.7","2015"
"Washington","Medicaid","BCS-AD","54.4","2015"
"Washington","Medicaid","HA1C-AD","90.4","2015"
"Washington","Medicaid","SAA-AD","71.6","2015"
"Iowa","Medicaid","AMM-AD","52.9","2016"
"Alabama","Medicaid","ABA-AD","11","2016"
"North Carolina","Medicaid","ABA-AD","15.2","2016"
"Arkansas","Medicaid","AMM-AD","18.1","2016"
"South Carolina","Medicaid","ABA-AD","12.2","2016"
"New York","Medicaid","AMM-AD","37.8","2016"
"Iowa","Medicaid","ABA-AD","8.6","2016"
"Iowa","Medicaid","AMM-AD","39.6","2016"
"Michigan","Medicaid","AMM-AD","55.5","2016"
"Mississippi","Medicaid","ABA-AD","71","2016"
"New Hampshire","Medicaid","ABA-AD","83.4","2016"
"West Virginia","Medicaid","ABA-AD","89.2","2016"
"California","Medicaid","AMM-AD","52.7","2016"
"New Hampshire","Medicaid","AMM-AD","59.2","2016"
"Kentucky","Medicaid","AMM-AD","43.7","2016"
"Hawaii","Medicaid","ABA-AD","76.4","2016"
"Massachusetts","Medicaid","AMM-AD","32.5","2016"
"Pennsylvania","Medicaid","ABA-AD","86.1","2016"
"Michigan","Medicaid","ABA-AD","39.3","2016"
"Kentucky","Medicaid","AMM-AD","58.6","2016"
"Alabama","Medicaid","AMM-AD","46","2016"
"Mississippi","Medicaid","AMM-AD","45.4","2016"
"Texas","Medicaid","ABA-AD","79.9","2016"
"Georgia","Medicaid","CCS-AD","48.1","2016"
"California","Medicaid","AMM-AD","35.6","2016"
"New Hampshire","Medicaid","AMM-AD","43.6","2016"
"Massachusetts","Medicaid","AMM-AD","47.1","2016"
"New York","Medicaid","AMM-AD","52.1","2016"
"Alabama","Medicaid","AMM-AD","31.1","2016"
"North Carolina","Medicaid","AMM-AD","38","2016"
"Massachusetts","Medicaid","ABA-AD","86.1","2016"
"Mississippi","Medicaid","AMM-AD","31.2","2016"
"New Mexico","Medicaid","ABA-AD","75.9","2016"
"New Mexico","Medicaid","AMM-AD","53.1","2016"
"Tennessee","Medicaid","ABA-AD","82.5","2016"
"Kentucky","Medicaid","ABA-AD","84.6","2016"
"Maryland","Medicaid","ABA-AD","87.4","2016"
"North Carolina","Medicaid","AMM-AD","51.5","2016"
"Pennsylvania","Medicaid","AMM-AD","37.4","2016"
"Pennsylvania","Medicaid","AMM-AD","52.4","2016"
"Arkansas","Medicaid","AMM-AD","34.2","2016"
"New Mexico","Medicaid","AMM-AD","37.8","2016"
"Arkansas","Medicaid","CHL-AD","49.8","2016"
"Michigan","Medicaid","AMM-AD","39.3","2016"
"New Mexico","Medicaid","PPC-AD","51.2","2016"
"North Carolina","Medicaid","CCS-AD","42.4","2016"
"North Carolina","Medicaid","MPM-AD","91.3","2016"
"Michigan","Medicaid","SSD-AD","82.6","2016"
"South Carolina","Medicaid","AMM-AD","43.2","2016"
"Iowa","Medicaid","PPC-AD","35","2016"
"Texas","Medicaid","AMM-AD","29.8","2016"
"North Carolina","Medicaid","HA1C-AD","62.7","2016"
"West Virginia","Medicaid","PPC-AD","58.5","2016"
"North Carolina","Medicaid","SSD-AD","83.6","2016"
"Arkansas","Medicaid","FUH-AD","34.8","2016"
"New Hampshire","Medicaid","PQI08-AD","14.8","2016"
"New York","Medicaid","IET-AD","46.3","2016"
"New Mexico","Medicaid","BCS-AD","50.7","2016"
"Kentucky","Medicaid","CHL-AD","56.5","2016"
"Alabama","Medicaid","PPC-AD","46.1","2016"
"Michigan","Medicaid","PPC-AD","52.6","2016"
"North Carolina","Medicaid","FUH-AD","46.2","2016"
"California","Medicaid","SSD-AD","66.4","2016"
"Connecticut","Medicaid","BCS-AD","62.9","2016"
"Mississippi","Medicaid","CCS-AD","59.6","2016"
"Massachusetts","Medicaid","MPM-AD","85.7","2016"
"Alabama","Medicaid","FUH-AD","84.7","2016"
"New York","Medicaid","IET-AD","19.2","2016"
"Pennsylvania","Medicaid","SAA-AD","70.5","2016"
"Arkansas","Medicaid","CCS-AD","35.7","2016"
"California","Medicaid","IET-AD","17.7","2016"
"South Carolina","Medicaid","SSD-AD","70.7","2016"
"Iowa","Medicaid","MPM-AD","84.4","2016"
"Tennessee","Medicaid","FUH-AD","70.6","2016"
"South Carolina","Medicaid","HA1C-AD","47.9","2016"
"South Carolina","Medicaid","CCS-AD","39","2016"
"Michigan","Medicaid","HA1C-AD","82.2","2016"
"Kentucky","Medicaid","PPC-AD","54.3","2016"
"Massachusetts","Medicaid","IET-AD","43.3","2016"
"Massachusetts","Medicaid","CBP-AD","68.4","2016"
"New Hampshire","Medicaid","HA1C-AD","90.7","2016"
"South Carolina","Medicaid","AMM-AD","27.6","2016"
"Arkansas","Medicaid","MPM-AD","83.4","2016"
"Texas","Medicaid","IET-AD","5.5","2016"
"Mississippi","Medicaid","BCS-AD","52.3","2016"
"Iowa","Medicaid","HA1C-AD","86.2","2016"
"Texas","Medicaid","SAA-AD","55","2016"
"Maryland","Medicaid","CBP-AD","62.1","2016"
"Alabama","Medicaid","PQI01-AD","40.9","2016"
"Arkansas","Medicaid","PQI01-AD","27.9","2016"
"South Carolina","Medicaid","IET-AD","32.5","2016"
"California","Medicaid","IET-AD","45.5","2016"
"New York","Medicaid","BCS-AD","68.9","2016"
"Tennessee","Medicaid","CBP-AD","55","2016"
"Tennessee","Medicaid","PQI08-AD","23.1","2016"
"New Mexico","Medicaid","FUH-AD","60.9","2016"
"Arkansas","Medicaid","PQI08-AD","36","2016"
"Iowa","Medicaid","IET-AD","18.5","2016"
"North Carolina","Medicaid","CHL-AD","59.4","2016"
"Massachusetts","Medicaid","SSD-AD","79.6","2016"
"New Mexico","Medicaid","CBP-AD","53.7","2016"
"New Hampshire","Medicaid","MPM-AD","83.6","2016"
"Arkansas","Medicaid","HA1C-AD","71.6","2016"
"California","Medicaid","FUH-AD","65.5","2016"
"Nevada","Medicaid","FUH-AD","66.7","2016"
"Iowa","Medicaid","PQI01-AD","47","2016"
"Massachusetts","Medicaid","PPC-AD","69.7","2016"
"Pennsylvania","Medicaid","CHL-AD","63.2","2016"
"New York","Medicaid","SSD-AD","78.6","2016"
"Iowa","Medicaid","CHL-AD","51.1","2016"
"California","Medicaid","HA1C-AD","82.9","2016"
"Tennessee","Medicaid","BCS-AD","54.5","2016"
"Texas","Medicaid","MPM-AD","91.5","2016"
"Alabama","Medicaid","CCS-AD","46.3","2016"
"New York","Medicaid","FUH-AD","40.6","2016"
"Tennessee","Medicaid","SSD-AD","81.2","2016"
"Texas","Medicaid","FUH-AD","27.8","2016"
"New Hampshire","Medicaid","PQI01-AD","15.3","2016"
"West Virginia","Medicaid","SAA-AD","55.7","2016"
"Michigan","Medicaid","CHL-AD","67.9","2016"
"Pennsylvania","Medicaid","BCS-AD","60.8","2016"
"Pennsylvania","Medicaid","PPC-AD","64.1","2016"
"Massachusetts","Medicaid","CHL-AD","72.9","2016"
"Massachusetts","Medicaid","HA1C-AD","90.1","2016"
"Tennessee","Medicaid","AMM-AD","47.7","2016"
"Pennsylvania","Medicaid","IET-AD","26.7","2016"
"Texas","Medicaid","PQI08-AD","62","2016"
"Alabama","Medicaid","SAA-AD","57.1","2016"
"Texas","Medicaid","BCS-AD","54.2","2016"
"Arkansas","Medicaid","BCS-AD","36.6","2016"
"Texas","Medicaid","PPC-AD","62.6","2016"
"Pennsylvania","Medicaid","PQI08-AD","18.5","2016"
"New Mexico","Medicaid","FUH-AD","37.6","2016"
"New Hampshire","Medicaid","IET-AD","37","2016"
"North Carolina","Medicaid","IET-AD","3.5","2016"
"Massachusetts","Medicaid","IET-AD","17.9","2016"
"West Virginia","Medicaid","HA1C-AD","80.9","2016"
"Texas","Medicaid","CBP-AD","43.6","2016"
"New Mexico","Medicaid","SAA-AD","52.2","2016"
"California","Medicaid","MPM-AD","73.9","2016"
"Tennessee","Medicaid","CHL-AD","54.6","2016"
"Iowa","Medicaid","SSD-AD","70.6","2016"
