state,domain,reporting_program,measure_name,measure_abbreviation,measure_type,rate_definition,ffy,population,methodology,state_rate,number_of_states_reporting,median,bottom_quartile,top_quartile,notes,source,statespecific_comments,rate_used_in_calculating_state_mean_and_median,_input_file_date
North Carolina,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2022,Medicaid,Administrative,31.5,46,48.8,43.6,54,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.",Rate includes FFS and managed care populations (5 MCOs). Rate was audited or validated. All adults ages 18 - 64 were captured in this measure.,Yes,2022-12-31
Pennsylvania,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2022,Medicaid,Administrative,50.9,46,48.8,43.6,54,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","""Rate includes managed care population (8 MCOs). The state described the """"other"""" data sources used to calculate the measure as the following: """"Data submitted by managed care plans and compiled by the EQRO."""" Rate was audited or validated. The numerator"," denominator and rate entered are for ages 52-74.""",2022-12-31
Tennessee,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2022,Medicaid,Administrative,48.9,46,48.8,43.6,54,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","""Rate includes managed care population (3 MCOs). Rate was audited or validated. State reported the following deviation: """"Age range is in accordance with NCQA HEDIS specifications (ages 50-74) and does not end at age 64.""""""",Yes,2022-12-31
Texas,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2022,Medicaid,Administrative,44,46,48.8,43.6,54,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","""Rate includes FFS and managed care populations (17 MCOs). The state described the """"other"""" data sources used to calculate the measure as the following: """"Two data sources were used to calculate the quality of care indicators: member level enrollment information and member level health care claims/encounter data. The enrollment files contained information about the member's age", gender,2022-12-31
Utah,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2022,Medicaid,Administrative,44.1,46,48.8,43.6,54,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","""Rate includes managed care population (4 MCOs). The state described the """"other"""" data sources used to calculate the measure as the following: """"Health Plans submit independently audited HEDIS data to the Utah Office of Health Care Statistics."""" Rate was audited or validated.""",Yes,2022-12-31
New Mexico,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years,2017,Medicaid,Administrative,47.2,39,54.7,48.4,60.9,null,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.",Rate includes managed care population (4 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. MCO rates were audited by certified HEDIS auditors.,null,2017-12-31
Michigan,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years,2017,Medicaid,Administrative,61.3,39,54.7,48.4,60.9,null,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.",Rate includes FFS and managed care populations (11 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,null,2017-12-31
Florida,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years,2017,Medicaid,Administrative,54.8,39,54.7,48.4,60.9,null,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Rate includes managed care population (17 MCOs) ages 50 to 74, representing 69 percent of the population. Rate excludes FFS population, representing 31 percent of the population, and Medicare-Medicaid Dual Eligibles. MCO rates were audited by certified HEDIS auditors.",null,2017-12-31
South Carolina,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years,2017,Medicaid,Administrative,28.2,39,54.7,48.4,60.9,null,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.",Rate includes FFS and managed care populations (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,null,2017-12-31
Maryland,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years,2017,Medicaid,Administrative,66.6,39,54.7,48.4,60.9,null,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Rate includes managed care population (8 MCOs), representing 69 percent of the population. Rate excludes FFS population, representing 31 percent of the population, and Medicare-Medicaid Dual Eligibles. MCO rates were audited by certified HEDIS auditors.",null,2017-12-31
New Hampshire,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years,2017,Medicaid,Administrative,61.2,39,54.7,48.4,60.9,null,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Rate includes managed care population (2 MCOs), representing 84 percent of the population. Rate excludes FFS population, representing 16 percent of the population, and Medicare-Medicaid Dual Eligibles. MCO rates were audited by certified HEDIS auditors.",null,2017-12-31
Alabama,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years,2017,Medicaid,Administrative,43,39,54.7,48.4,60.9,null,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.",Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.,null,2017-12-31
North Carolina,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years,2017,Medicaid,Administrative,31.5,39,54.7,48.4,60.9,null,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.",Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.,null,2017-12-31
Mississippi,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years,2017,Medicaid,Administrative,54.7,39,54.7,48.4,60.9,null,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Rate includes managed care population (2 MCOs), representing 68 percent of the population. Rate excludes FFS population, representing 32 percent of the population, and Medicare-Medicaid Dual Eligibles.",null,2017-12-31
Delaware,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years,2017,Medicaid,Administrative,50.7,39,54.7,48.4,60.9,null,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Rate includes managed care population (2 MCOs), representing 90 percent of the population. Rate excludes FFS population, representing 10 percent of the population, and Medicare-Medicaid Dual Eligibles.",null,2017-12-31
Iowa,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years,2017,Medicaid,Administrative,58.6,39,54.7,48.4,60.9,null,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.",Rate includes FFS and managed care populations (3 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Optional exclusions were applied.,null,2017-12-31
New York,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years,2017,Medicaid,Administrative,67.7,39,54.7,48.4,60.9,null,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.",Rate includes FFS and managed care populations (68 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. State conducted an internal validation of the data.,null,2017-12-31
Georgia,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years,2017,Medicaid,Administrative,38,39,54.7,48.4,60.9,null,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.",Rate includes FFS and managed care populations (4 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles and Planning for Healthy Babies (P4HB) demonstration members per CMS Special Terms and Conditions. Rate was validated by the state's EQRO.,null,2017-12-31
California,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years,2017,Medicaid,Administrative,53.5,39,54.7,48.4,60.9,null,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.",Rate includes FFS and managed care populations (26 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was audited using decision support software. Rate is provisional due to changes in the Medicaid program and data systems during this period.,null,2017-12-31
Pennsylvania,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years,2017,Medicaid,Administrative,59.4,39,54.7,48.4,60.9,null,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.",Rate includes managed care population (9 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. Data were submitted by MCOs and compiled by the state's EQRO.,null,2017-12-31
Tennessee,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years,2017,Medicaid,Administrative,54.9,39,54.7,48.4,60.9,null,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.",Rate includes managed care population (4 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.,null,2017-12-31
Washington,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years,2017,Medicaid,Administrative,53.5,39,54.7,48.4,60.9,null,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Rate includes managed care population (5 MCOs) ages 50 to 74, representing 89 percent of the population. Rate excludes FFS and PCCM populations, representing 11 percent of the population, and Medicare-Medicaid Dual Eligibles.",null,2017-12-31
Texas,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years,2017,Medicaid,Administrative,51.1,39,54.7,48.4,60.9,null,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.",Rate includes FFS and managed care populations (23 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.,null,2017-12-31
Wisconsin,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50-74,BCS-AD,null,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years,2017,Medicaid,Administrative,67.3,39,54.7,48.4,60.9,null,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Rate includes managed care population (18 MCOs), representing 62 percent of the population. Rate excludes FFS population, representing 38 percent of the population, and Medicare-Medicaid Dual Eligibles.",null,2017-12-31
Alabama,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2021,Medicaid,Administrative,39.1,45,50.4,45.5,55.3,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","""Rate includes FFS and PCCM populations. State reported that the rate excludes the following populations: """"Since Medicare claims are unavailable"," Alabama Medicaid Agency recipients who are dually enrolled in Medicaid and Medicare are excluded from the eligible population.""""""",2021-12-31
Florida,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2021,Medicaid,Administrative,54.5,45,50.4,45.5,55.3,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","""Rate includes managed care population (15 MCOs). The state described the """"other"""" data sources used to calculate the measure as the following: """"Data submitted by the health plans."""" Rate was audited or validated. The Ages 50 to 64 rate includes individuals ages 50-74.""",Yes,2021-12-31
Georgia,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2021,Medicaid,Administrative,53.3,45,50.4,45.5,55.3,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","""Rate includes managed care population (4 MCOs). The state described the """"other"""" data sources used to calculate the measure as the following: """"The state's EQRO uses the data from the care management organizations' (CMOs') audited Interactive Data Submission System (IDSS) submissions as well as the performance measure rates from the performance measure validation (PMV) audits that the EQRO conducts for the CMOs", which is based on the CMOs' claims/encounter,2021-12-31
Maryland,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2021,Medicaid,Administrative,63.5,45,50.4,45.5,55.3,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","""Rate includes managed care population (9 MCOs). State reported that the rate excludes the following populations: """"The Medicare and Medicaid Dually-Eligible Population are carved out of managed care."""" Rate was audited or validated. State reported the following deviation: """"Rate includes women ages 50-74.""""""",Yes,2021-12-31
Michigan,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2021,Medicaid,Administrative,54.7,45,50.4,45.5,55.3,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","""Rate includes FFS and managed care populations (9 MCOs). The state described the """"other"""" data sources used to calculate the measure as the following: """"State of Michigan Data Warehouse (contains a copy of MMIS data).""""""",Yes,2021-12-31
Mississippi,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2021,Medicaid,Administrative,50.4,45,50.4,45.5,55.3,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.",Rate includes managed care population (3 MCOs).,Yes,2021-12-31
Nevada,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2021,Medicaid,Administrative,49.2,45,50.4,45.5,55.3,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.",Rate includes managed care population (3 MCOs). Rate was audited or validated.,Yes,2021-12-31
New Hampshire,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2021,Medicaid,Administrative,52,45,50.4,45.5,55.3,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","""Rate includes managed care population (3 MCOs). FFS enrollees and Medicare and Medicaid dually-eligible population are excluded. The state described the """"other"""" data sources used to calculate the measure as the following: """"The managed care organizations' data are from their claims system."""" Rate was audited or validated. Submitted values are based on HEDIS data for reporting year 2021", yet the age groups were split up according to the CMS specified age group for that measure where it was applicable. This reporting year a third MCO is added,2021-12-31
New Mexico,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2021,Medicaid,Administrative,40.9,45,50.4,45.5,55.3,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","""Rate includes managed care population (2 MCOs). The state described the """"other"""" data sources used to calculate the measure as the following: """"MCO Audited HEDIS."""" Rate was audited or validated. The data reported includes two managed care organizations", as one MCO reported a denominator less than 30 for this measure,2021-12-31
New York,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2021,Medicaid,Administrative,60.7,45,50.4,45.5,55.3,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","""Rate includes FFS and managed care populations (64 MCOs). The state described the """"other"""" data sources used to calculate the measure as the following: """"Medicaid Data Warehouse."""" Rate was audited or validated. NYS used HEDIS age groups. The numerator and denominator include age 65+ population.""",Yes,2021-12-31
North Carolina,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2021,Medicaid,Administrative,35.3,45,50.4,45.5,55.3,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.",Rate includes FFS and PCCM populations. Rate was audited or validated. All adults ages 18 - 64 were captured in this measure.,Yes,2021-12-31
Pennsylvania,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2021,Medicaid,Administrative,53.2,45,50.4,45.5,55.3,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","""Rate includes managed care population (8 MCOs). The state described the """"other"""" data sources used to calculate the measure as the following: """"Data submitted by managed care plans and compiled by the EQRO."""" Rate was audited or validated. The numerator"," denominator and rate are for ages 52-74. Data are not available for individual age brackets.""",2021-12-31
Tennessee,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2021,Medicaid,Administrative,52,45,50.4,45.5,55.3,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","""Rate includes managed care population (3 MCOs). Rate was audited or validated. State reported the following deviation: """"Age range is in accordance with HEDIS specifications (50-74) and does not end at age 64.""""""",Yes,2021-12-31
Texas,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2021,Medicaid,Administrative,46.5,45,50.4,45.5,55.3,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","""Rate includes FFS and managed care populations (17 MCOs). The state described the """"other"""" data sources used to calculate the measure as the following: """"Two data sources were used to calculate the quality of care indicators: member level enrollment information and member level health care claims/encounter data. The enrollment files contained information about the member's age", gender,2021-12-31
Utah,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2021,Medicaid,Administrative,45.5,45,50.4,45.5,55.3,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2021 reporting cycle as of June 1, 2023.","""Rate includes managed care population (4 MCOs). The state described the """"other"""" data sources used to calculate the measure as the following: """"Health Plans submit independently audited HEDIS data to the Utah Office of Health Care Statistics."""" Rate was audited or validated. Ages 65-74 rate was not stratified.""",Yes,2021-12-31
