"state","population","measure_name","measure_abbreviation","state_rate","ffy","reporting_date","postcovid"
"Texas","Medicaid","Comprehensive Diabetes Care: LDL-C Screening","LDL-AD","78.4",2014,2015-06-01,0
"New Hampshire","Medicaid","Antidepressant Medication Management","AMM-AD","54.9",2014,2015-06-01,0
"Texas","Medicaid","Adult Body Mass Index Assessment","ABA-AD","73.9",2014,2015-06-01,0
"Mississippi","Medicaid","Antidepressant Medication Management","AMM-AD","43.1",2014,2015-06-01,0
"Montana","Medicaid","Comprehensive Diabetes Care: LDL-C Screening","LDL-AD","53.4",2014,2015-06-01,0
"West Virginia","Medicaid","Cervical Cancer Screening","CCS-AD","58.5",2014,2015-06-01,0
"Michigan","Medicaid","Antidepressant Medication Management","AMM-AD","28.6",2014,2015-06-01,0
"Arkansas","Medicaid","Chlamydia Screening in Women","CHL-AD","53",2014,2015-06-01,0
"Connecticut","Medicaid","Chlamydia Screening in Women","CHL-AD","70.5",2014,2015-06-01,0
"New Hampshire","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","66.3",2014,2015-06-01,0
"Arkansas","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","79.7",2014,2015-06-01,0
"Montana","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","73.9",2014,2015-06-01,0
"Pennsylvania","Medicaid","Postpartum Care Rate","PPC-AD","63.9",2014,2015-06-01,0
"Massachusetts","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","89.6",2014,2015-06-01,0
"Delaware","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","57.2",2014,2015-06-01,0
"Indiana","Medicaid","Antidepressant Medication Management","AMM-AD","47.2",2014,2015-06-01,0
"Alabama","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","72.1",2014,2015-06-01,0
"Massachusetts","Medicaid","Antidepressant Medication Management","AMM-AD","44.5",2014,2015-06-01,0
"Montana","Medicaid","Chlamydia Screening in Women","CHL-AD","49.2",2014,2015-06-01,0
"Montana","Medicaid","Postpartum Care Rate","PPC-AD","78.7",2014,2015-06-01,0
"Alabama","Medicaid","Chlamydia Screening in Women","CHL-AD","40.2",2014,2015-06-01,0
"New York","Medicaid","Breast Cancer Screening","BCS-AD","68.8",2014,2015-06-01,0
"Pennsylvania","Medicaid","Breast Cancer Screening","BCS-AD","63.7",2014,2015-06-01,0
"Delaware","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","36",2014,2015-06-01,0
"Alabama","Medicaid","Postpartum Care Rate","PPC-AD","90",2014,2015-06-01,0
"Delaware","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","80.7",2014,2015-06-01,0
"Indiana","Medicaid","Adult Body Mass Index Assessment","ABA-AD","7.7",2014,2015-06-01,0
"West Virginia","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","76.3",2014,2015-06-01,0
"Pennsylvania","Medicaid","Comprehensive Diabetes Care: LDL-C Screening","LDL-AD","79.1",2014,2015-06-01,0
"Michigan","Medicaid","Breast Cancer Screening","BCS-AD","61.2",2014,2015-06-01,0
"Minnesota","Medicaid","Cervical Cancer Screening","CCS-AD","61.7",2014,2015-06-01,0
"Michigan","Medicaid","Adult Body Mass Index Assessment","ABA-AD","19.4",2014,2015-06-01,0
"Iowa","Medicaid","Comprehensive Diabetes Care: LDL-C Screening","LDL-AD","62.6",2014,2015-06-01,0
"Pennsylvania","Medicaid","Antidepressant Medication Management","AMM-AD","34.3",2014,2015-06-01,0
"Georgia","Medicaid","Breast Cancer Screening","BCS-AD","32.9",2014,2015-06-01,0
"Arkansas","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","33.6",2014,2015-06-01,0
"New Hampshire","Medicaid","Postpartum Care Rate","PPC-AD","63.4",2014,2015-06-01,0
"Georgia","Medicaid","Comprehensive Diabetes Care: LDL-C Screening","LDL-AD","61.1",2014,2015-06-01,0
"Georgia","Medicaid","Antidepressant Medication Management","AMM-AD","52.9",2014,2015-06-01,0
"Texas","Medicaid","Antidepressant Medication Management","AMM-AD","44.9",2014,2015-06-01,0
"Montana","Medicaid","Antidepressant Medication Management","AMM-AD","23.8",2014,2015-06-01,0
"Iowa","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","84.4",2014,2015-06-01,0
"New York","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","35.2",2014,2015-06-01,0
"Indiana","Medicaid","Antidepressant Medication Management","AMM-AD","27",2014,2015-06-01,0
"Delaware","Medicaid","Antidepressant Medication Management","AMM-AD","51.6",2014,2015-06-01,0
"Delaware","Medicaid","Adult Body Mass Index Assessment","ABA-AD","83.1",2014,2015-06-01,0
"Arkansas","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","57.4",2014,2015-06-01,0
"Michigan","Medicaid","Antidepressant Medication Management","AMM-AD","57.5",2014,2015-06-01,0
"California","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","68.4",2014,2015-06-01,0
"New York","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","80.5",2014,2015-06-01,0
"Pennsylvania","Medicaid","Antidepressant Medication Management","AMM-AD","48.8",2014,2015-06-01,0
"New Hampshire","Medicaid","Antidepressant Medication Management","AMM-AD","36.7",2014,2015-06-01,0
"California","Medicaid","Cervical Cancer Screening","CCS-AD","55.6",2014,2015-06-01,0
"Michigan","Medicaid","Comprehensive Diabetes Care: LDL-C Screening","LDL-AD","71.9",2014,2015-06-01,0
"Indiana","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","64.9",2014,2015-06-01,0
"Massachusetts","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","65.3",2014,2015-06-01,0
"Mississippi","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","82",2014,2015-06-01,0
"Iowa","Medicaid","Cervical Cancer Screening","CCS-AD","66.9",2014,2015-06-01,0
"Montana","Medicaid","Cervical Cancer Screening","CCS-AD","44.7",2014,2015-06-01,0
"New York","Medicaid","Adult Body Mass Index Assessment","ABA-AD","85.7",2014,2015-06-01,0
"Connecticut","Medicaid","Breast Cancer Screening","BCS-AD","61.8",2014,2015-06-01,0
"Arkansas","Medicaid","Antidepressant Medication Management","AMM-AD","40.8",2014,2015-06-01,0
"Mississippi","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","25.5",2014,2015-06-01,0
"Iowa","Medicaid","Antidepressant Medication Management","AMM-AD","36.1",2014,2015-06-01,0
"Pennsylvania","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","83.6",2014,2015-06-01,0
"Georgia","Medicaid","Chlamydia Screening in Women","CHL-AD","60.8",2014,2015-06-01,0
"Mississippi","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","49.7",2014,2015-06-01,0
"Georgia","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","68.8",2014,2015-06-01,0
"Pennsylvania","Medicaid","Adult Body Mass Index Assessment","ABA-AD","81.2",2014,2015-06-01,0
"Alabama","Medicaid","Adult Body Mass Index Assessment","ABA-AD","4",2014,2015-06-01,0
"Alabama","Medicaid","Antidepressant Medication Management","AMM-AD","21.8",2014,2015-06-01,0
"Connecticut","Medicaid","Cervical Cancer Screening","CCS-AD","66.9",2014,2015-06-01,0
"California","Medicaid","Antidepressant Medication Management","AMM-AD","65",2014,2015-06-01,0
"Iowa","Medicaid","Chlamydia Screening in Women","CHL-AD","56.9",2014,2015-06-01,0
"Arkansas","Medicaid","Breast Cancer Screening","BCS-AD","37.7",2014,2015-06-01,0
"Mississippi","Medicaid","Chlamydia Screening in Women","CHL-AD","53.1",2014,2015-06-01,0
"Alabama","Medicaid","Antidepressant Medication Management","AMM-AD","38.6",2014,2015-06-01,0
"New York","Medicaid","Postpartum Care Rate","PPC-AD","69.9",2014,2015-06-01,0
"Indiana","Medicaid","Comprehensive Diabetes Care: LDL-C Screening","LDL-AD","65.5",2014,2015-06-01,0
"Iowa","Medicaid","Postpartum Care Rate","PPC-AD","76",2014,2015-06-01,0
"New Hampshire","Medicaid","Comprehensive Diabetes Care: LDL-C Screening","LDL-AD","69.1",2014,2015-06-01,0
"New Hampshire","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","84.7",2014,2015-06-01,0
"Mississippi","Medicaid","Postpartum Care Rate","PPC-AD","61.9",2014,2015-06-01,0
"New York","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","85.8",2014,2015-06-01,0
"Iowa","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","38",2014,2015-06-01,0
"Delaware","Medicaid","Breast Cancer Screening","BCS-AD","53.4",2014,2015-06-01,0
"Mississippi","Medicaid","Adult Body Mass Index Assessment","ABA-AD","59.4",2014,2015-06-01,0
"West Virginia","Medicaid","Postpartum Care Rate","PPC-AD","62.7",2014,2015-06-01,0
"Mississippi","Medicaid","Cervical Cancer Screening","CCS-AD","50.7",2014,2015-06-01,0
"Indiana","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","72.6",2014,2015-06-01,0
"Pennsylvania","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","43.6",2014,2015-06-01,0
"New York","Medicaid","Cervical Cancer Screening","CCS-AD","69.2",2014,2015-06-01,0
"New York","Medicaid","Comprehensive Diabetes Care: LDL-C Screening","LDL-AD","76.3",2014,2015-06-01,0
"Massachusetts","Medicaid","Comprehensive Diabetes Care: LDL-C Screening","LDL-AD","79.4",2014,2015-06-01,0
"California","Medicaid","Breast Cancer Screening","BCS-AD","65.3",2014,2015-06-01,0
"Iowa","Medicaid","Breast Cancer Screening","BCS-AD","47",2014,2015-06-01,0
"West Virginia","Medicaid","Comprehensive Diabetes Care: LDL-C Screening","LDL-AD","64.2",2014,2015-06-01,0
"California","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","65",2014,2015-06-01,0
"Texas","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","82.4",2014,2015-06-01,0
"Connecticut","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","56.9",2014,2015-06-01,0
"Texas","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","88.8",2014,2015-06-01,0
"Delaware","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","82.9",2014,2015-06-01,0
"Massachusetts","Medicaid","Postpartum Care Rate","PPC-AD","69.8",2014,2015-06-01,0
"Alabama","Medicaid","Cervical Cancer Screening","CCS-AD","39.5",2015,2016-06-01,0
"New Hampshire","Medicaid","Cervical Cancer Screening","CCS-AD","55.9",2015,2016-06-01,0
"Texas","Medicaid","Cervical Cancer Screening","CCS-AD","55",2015,2016-06-01,0
"Tennessee","Medicaid","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment","IET-AD","37.2",2015,2016-06-01,0
"Texas","Medicaid","Adult Body Mass Index Assessment","ABA-AD","78.1",2015,2016-06-01,0
"New York","Medicaid","Antidepressant Medication Management","AMM-AD","36.5",2015,2016-06-01,0
"North Carolina","Medicaid","Breast Cancer Screening","BCS-AD","34.8",2015,2016-06-01,0
"Alabama","Medicaid","Adherence to Antipsychotics for Individuals with Schizophrenia","SAA-AD","58.1",2015,2016-06-01,0
"Mississippi","Medicaid","Antidepressant Medication Management","AMM-AD","48.8",2015,2016-06-01,0
"Pennsylvania","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","64.2",2015,2016-06-01,0
"New Mexico","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","63.1",2015,2016-06-01,0
"Massachusetts","Medicaid","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment","IET-AD","44.8",2015,2016-06-01,0
"Michigan","Medicaid","Adult Body Mass Index Assessment","ABA-AD","28.7",2015,2016-06-01,0
"South Carolina","Medicaid","Adherence to Antipsychotics for Individuals with Schizophrenia","SAA-AD","62.4",2015,2016-06-01,0
"Connecticut","Medicaid","Cervical Cancer Screening","CCS-AD","66.1",2015,2016-06-01,0
"Texas","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","36.5",2015,2016-06-01,0
"North Carolina","Medicaid","Antidepressant Medication Management","AMM-AD","44.5",2015,2016-06-01,0
"Connecticut","Medicaid","Adherence to Antipsychotics for Individuals with Schizophrenia","SAA-AD","68.7",2015,2016-06-01,0
"Louisiana","Medicaid","Chlamydia Screening in Women","CHL-AD","62.2",2015,2016-06-01,0
"Alabama","Medicaid","Adult Body Mass Index Assessment","ABA-AD","7.2",2015,2016-06-01,0
"California","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","82.7",2015,2016-06-01,0
"Pennsylvania","Medicaid","Chlamydia Screening in Women","CHL-AD","64.2",2015,2016-06-01,0
"Mississippi","Medicaid","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment","IET-AD","4.9",2015,2016-06-01,0
"Texas","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","86.2",2015,2016-06-01,0
"South Carolina","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","82.9",2015,2016-06-01,0
"Tennessee","Medicaid","Breast Cancer Screening","BCS-AD","54.1",2015,2016-06-01,0
"Texas","Medicaid","Adherence to Antipsychotics for Individuals with Schizophrenia","SAA-AD","58",2015,2016-06-01,0
"Iowa","Medicaid","Adherence to Antipsychotics for Individuals with Schizophrenia","SAA-AD","70.1",2015,2016-06-01,0
"Connecticut","Medicaid","Breast Cancer Screening","BCS-AD","61.8",2015,2016-06-01,0
"South Carolina","Medicaid","Breast Cancer Screening","BCS-AD","29.8",2015,2016-06-01,0
"Mississippi","Medicaid","Postpartum Care Rate","PPC-AD","61.4",2015,2016-06-01,0
"New York","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","82.3",2015,2016-06-01,0
"Tennessee","Medicaid","Antidepressant Medication Management","AMM-AD","31.4",2015,2016-06-01,0
"Arizona","Medicaid","Postpartum Care Rate","PPC-AD","22.8",2015,2016-06-01,0
"Massachusetts","Medicaid","Breast Cancer Screening","BCS-AD","72.3",2015,2016-06-01,0
"North Carolina","Medicaid","Adherence to Antipsychotics for Individuals with Schizophrenia","SAA-AD","61.6",2015,2016-06-01,0
"Iowa","Medicaid","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment","IET-AD","43.6",2015,2016-06-01,0
"California","Medicaid","Antidepressant Medication Management","AMM-AD","39.2",2015,2016-06-01,0
"California","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","56.1",2015,2016-06-01,0
"New Mexico","Medicaid","Antidepressant Medication Management","AMM-AD","21.7",2015,2016-06-01,0
"Tennessee","Medicaid","Postpartum Care Rate","PPC-AD","58.7",2015,2016-06-01,0
"Alabama","Medicaid","Antidepressant Medication Management","AMM-AD","37.3",2015,2016-06-01,0
"North Carolina","Medicaid","Antidepressant Medication Management","AMM-AD","29.4",2015,2016-06-01,0
"Iowa","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","45.6",2015,2016-06-01,0
"Massachusetts","Medicaid","Adherence to Antipsychotics for Individuals with Schizophrenia","SAA-AD","68.3",2015,2016-06-01,0
"Mississippi","Medicaid","Chlamydia Screening in Women","CHL-AD","63.5",2015,2016-06-01,0
"Tennessee","Medicaid","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment","IET-AD","9.8",2015,2016-06-01,0
"Tennessee","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","90.3",2015,2016-06-01,0
"Mississippi","Medicaid","Antidepressant Medication Management","AMM-AD","34.3",2015,2016-06-01,0
"Pennsylvania","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","87.1",2015,2016-06-01,0
"Massachusetts","Medicaid","Cervical Cancer Screening","CCS-AD","68.8",2015,2016-06-01,0
"Mississippi","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","81.7",2015,2016-06-01,0
"Michigan","Medicaid","Postpartum Care Rate","PPC-AD","54.6",2015,2016-06-01,0
"New York","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","40.5",2015,2016-06-01,0
"Arkansas","Medicaid","Antidepressant Medication Management","AMM-AD","33.3",2015,2016-06-01,0
"Pennsylvania","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","44",2015,2016-06-01,0
"Massachusetts","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","81.4",2015,2016-06-01,0
"South Carolina","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","45.7",2015,2016-06-01,0
"Texas","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","61.1",2015,2016-06-01,0
"Alabama","Medicaid","Postpartum Care Rate","PPC-AD","68.7",2015,2016-06-01,0
"New Mexico","Medicaid","Postpartum Care Rate","PPC-AD","25.1",2015,2016-06-01,0
"California","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","84.4",2015,2016-06-01,0
"North Carolina","Medicaid","Adult Body Mass Index Assessment","ABA-AD","8.3",2015,2016-06-01,0
"South Carolina","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","68.7",2015,2016-06-01,0
"North Carolina","Medicaid","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment","IET-AD","24.9",2015,2016-06-01,0
"Texas","Medicaid","Chlamydia Screening in Women","CHL-AD","60.1",2015,2016-06-01,0
"Pennsylvania","Medicaid","Adherence to Antipsychotics for Individuals with Schizophrenia","SAA-AD","71.7",2015,2016-06-01,0
"Massachusetts","Medicaid","Antidepressant Medication Management","AMM-AD","46.7",2015,2016-06-01,0
"New York","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","87.2",2015,2016-06-01,0
"Arkansas","Medicaid","Adherence to Antipsychotics for Individuals with Schizophrenia","SAA-AD","59.2",2015,2016-06-01,0
"New Mexico","Medicaid","Antidepressant Medication Management","AMM-AD","41.5",2015,2016-06-01,0
"Michigan","Medicaid","Antidepressant Medication Management","AMM-AD","49.7",2015,2016-06-01,0
"Alabama","Medicaid","Chlamydia Screening in Women","CHL-AD","33.1",2015,2016-06-01,0
"Mississippi","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","41.2",2015,2016-06-01,0
"California","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","67.1",2015,2016-06-01,0
"Tennessee","Medicaid","Antidepressant Medication Management","AMM-AD","48.6",2015,2016-06-01,0
"Mississippi","Medicaid","Cervical Cancer Screening","CCS-AD","56.1",2015,2016-06-01,0
"Alabama","Medicaid","Antidepressant Medication Management","AMM-AD","20.2",2015,2016-06-01,0
"New York","Medicaid","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment","IET-AD","21",2015,2016-06-01,0
"Pennsylvania","Medicaid","Cervical Cancer Screening","CCS-AD","66.1",2015,2016-06-01,0
"North Carolina","Medicaid","Cervical Cancer Screening","CCS-AD","41.4",2015,2016-06-01,0
"Pennsylvania","Medicaid","Postpartum Care Rate","PPC-AD","62.2",2015,2016-06-01,0
"South Carolina","Medicaid","Adult Body Mass Index Assessment","ABA-AD","8.4",2015,2016-06-01,0
"Massachusetts","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","89.4",2015,2016-06-01,0
"Michigan","Medicaid","Chlamydia Screening in Women","CHL-AD","68.2",2015,2016-06-01,0
"New Mexico","Medicaid","Adult Body Mass Index Assessment","ABA-AD","5.3",2015,2016-06-01,0
